ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductStyle,ProductCost,ProductPrice,SKUType
241,14,FR-R92R-44,"HL Road Frame - Red, 44",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U,747.9682,1263.4598,FR
244,14,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U,747.9682,1263.4598,FR
247,14,FR-R92R-52,"HL Road Frame - Red, 52",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U,747.9682,1263.4598,FR
250,14,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U,747.9682,1263.4598,FR
253,14,FR-R38B-58,"LL Road Frame - Black, 58",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.1997,297.6346,FR
256,14,FR-R38B-60,"LL Road Frame - Black, 60",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.1997,297.6346,FR
259,14,FR-R38B-62,"LL Road Frame - Black, 62",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.1997,297.6346,FR
262,14,FR-R38R-44,"LL Road Frame - Red, 44",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.4857,306.5636,FR
264,14,FR-R38R-48,"LL Road Frame - Red, 48",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.4857,306.5636,FR
266,14,FR-R38R-52,"LL Road Frame - Red, 52",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.4857,306.5636,FR
268,14,FR-R38R-58,"LL Road Frame - Red, 58",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.4857,306.5636,FR
270,14,FR-R38R-60,"LL Road Frame - Red, 60",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.4857,306.5636,FR
272,14,FR-R38R-62,"LL Road Frame - Red, 62",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.4857,306.5636,FR
274,14,FR-R72R-44,"ML Road Frame - Red, 44",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.1394,594.83,FR
275,14,FR-R72R-48,"ML Road Frame - Red, 48",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.1394,594.83,FR
276,14,FR-R72R-52,"ML Road Frame - Red, 52",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.1394,594.83,FR
277,14,FR-R72R-58,"ML Road Frame - Red, 58",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.1394,594.83,FR
278,14,FR-R72R-60,"ML Road Frame - Red, 60",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.1394,594.83,FR
279,14,FR-R38B-44,"LL Road Frame - Black, 44",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.1997,297.6346,FR
282,14,FR-R38B-48,"LL Road Frame - Black, 48",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.1997,297.6346,FR
285,14,FR-R38B-52,"LL Road Frame - Black, 52",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.1997,297.6346,FR
288,12,FR-M94S-42,"HL Mountain Frame - Silver, 42",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,623.8403,1204.3248,FR
291,12,FR-M94S-44,"HL Mountain Frame - Silver, 44",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,706.811,1364.5,FR
292,12,FR-M94S-52,"HL Mountain Frame - Silver, 48",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,706.811,1364.5,FR
293,12,FR-M94S-46,"HL Mountain Frame - Silver, 46",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,623.8403,1204.3248,FR
296,12,FR-M94B-42,"HL Mountain Frame - Black, 42",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,617.0281,1191.1739,FR
299,12,FR-M94B-44,"HL Mountain Frame - Black, 44",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,699.0928,1349.6,FR
300,12,FR-M94B-48,"HL Mountain Frame - Black, 48",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,699.0928,1349.6,FR
301,12,FR-M94B-46,"HL Mountain Frame - Black, 46",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,617.0281,1191.1739,FR
304,12,FR-M94B-38,"HL Mountain Frame - Black, 38",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,617.0281,1191.1739,FR
307,12,FR-M94S-38,"HL Mountain Frame - Silver, 38",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,623.8403,1204.3248,FR
310,2,BK-R93R-62,"Road-150 Red, 62",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.2942,3578.27,BK
311,2,BK-R93R-44,"Road-150 Red, 44",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.2942,3578.27,BK
312,2,BK-R93R-48,"Road-150 Red, 48",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.2942,3578.27,BK
313,2,BK-R93R-52,"Road-150 Red, 52",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.2942,3578.27,BK
314,2,BK-R93R-56,"Road-150 Red, 56",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.2942,3578.27,BK
315,2,BK-R68R-58,"Road-450 Red, 58",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.7083,1457.99,BK
316,2,BK-R68R-60,"Road-450 Red, 60",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.7083,1457.99,BK
317,2,BK-R68R-44,"Road-450 Red, 44",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.7083,1457.99,BK
318,2,BK-R68R-48,"Road-450 Red, 48",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.7083,1457.99,BK
319,2,BK-R68R-52,"Road-450 Red, 52",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.7083,1457.99,BK
320,2,BK-R50R-58,"Road-650 Red, 58",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.1463,699.0982,BK
322,2,BK-R50R-60,"Road-650 Red, 60",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.1463,699.0982,BK
324,2,BK-R50R-62,"Road-650 Red, 62",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.1463,699.0982,BK
326,2,BK-R50R-44,"Road-650 Red, 44",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.1463,699.0982,BK
328,2,BK-R50R-48,"Road-650 Red, 48",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.1463,699.0982,BK
330,2,BK-R50R-52,"Road-650 Red, 52",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.1463,699.0982,BK
332,2,BK-R50B-58,"Road-650 Black, 58",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.1463,699.0982,BK
334,2,BK-R50B-60,"Road-650 Black, 60",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.1463,699.0982,BK
336,2,BK-R50B-62,"Road-650 Black, 62",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.1463,699.0982,BK
338,2,BK-R50B-44,"Road-650 Black, 44",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.1463,699.0982,BK
340,2,BK-R50B-48,"Road-650 Black, 48",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.1463,699.0982,BK
342,2,BK-R50B-52,"Road-650 Black, 52",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.1463,699.0982,BK
344,1,BK-M82S-38,"Mountain-100 Silver, 38",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.1544,3399.99,BK
345,1,BK-M82S-42,"Mountain-100 Silver, 42",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.1544,3399.99,BK
346,1,BK-M82S-44,"Mountain-100 Silver, 44",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.1544,3399.99,BK
347,1,BK-M82S-48,"Mountain-100 Silver, 48",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.1544,3399.99,BK
348,1,BK-M82B-38,"Mountain-100 Black, 38",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.0944,3374.99,BK
349,1,BK-M82B-42,"Mountain-100 Black, 42",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.0944,3374.99,BK
350,1,BK-M82B-44,"Mountain-100 Black, 44",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.0944,3374.99,BK
351,1,BK-M82B-48,"Mountain-100 Black, 48",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.0944,3374.99,BK
352,1,BK-M68S-38,"Mountain-200 Silver, 38",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,U,1117.8559,2071.4196,BK
354,1,BK-M68S-42,"Mountain-200 Silver, 42",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,U,1117.8559,2071.4196,BK
356,1,BK-M68S-46,"Mountain-200 Silver, 46",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,U,1117.8559,2071.4196,BK
358,1,BK-M68B-38,"Mountain-200 Black, 38",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,1105.81,2049.0982,BK
360,1,BK-M68B-42,"Mountain-200 Black, 42",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,1105.81,2049.0982,BK
362,1,BK-M68B-46,"Mountain-200 Black, 46",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,1105.81,2049.0982,BK
364,1,BK-M47B-38,"Mountain-300 Black, 38",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.4354,1079.99,BK
365,1,BK-M47B-40,"Mountain-300 Black, 40",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.4354,1079.99,BK
366,1,BK-M47B-44,"Mountain-300 Black, 44",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.4354,1079.99,BK
367,1,BK-M47B-48,"Mountain-300 Black, 48",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.4354,1079.99,BK
368,2,BK-R89R-44,"Road-250 Red, 44",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,U,1518.7864,2443.35,BK
369,2,BK-R89R-48,"Road-250 Red, 48",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,U,1518.7864,2443.35,BK
370,2,BK-R89R-52,"Road-250 Red, 52",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,U,1518.7864,2443.35,BK
371,2,BK-R89R-58,"Road-250 Red, 58",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,U,1320.6838,2181.5625,BK
373,2,BK-R89B-44,"Road-250 Black, 44",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,1320.6838,2181.5625,BK
375,2,BK-R89B-48,"Road-250 Black, 48",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,1320.6838,2181.5625,BK
377,2,BK-R89B-52,"Road-250 Black, 52",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,1320.6838,2181.5625,BK
379,2,BK-R89B-58,"Road-250 Black, 58",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,1320.6838,2181.5625,BK
381,2,BK-R64Y-38,"Road-550-W Yellow, 38",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.6492,1000.4375,BK
383,2,BK-R64Y-40,"Road-550-W Yellow, 40",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.6492,1000.4375,BK
385,2,BK-R64Y-42,"Road-550-W Yellow, 42",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.6492,1000.4375,BK
387,2,BK-R64Y-44,"Road-550-W Yellow, 44",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.6492,1000.4375,BK
389,2,BK-R64Y-48,"Road-550-W Yellow, 48",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.6492,1000.4375,BK
391,10,FK-1639,LL Fork,LL Fork,Stout design absorbs shock and offers more precise steering.,,N/A,65.8097,148.22,FK
392,10,FK-5136,ML Fork,ML Fork,Composite road fork with an aluminum steerer tube.,,N/A,77.9176,175.49,FK
393,10,FK-9939,HL Fork,HL Fork,High-performance carbon road fork with curved legs.,,N/A,101.8936,229.49,FK
394,11,HS-0296,LL Headset,LL Headset,Threadless headset provides quality at an economical price.,,N/A,15.1848,34.2,HS
395,11,HS-2451,ML Headset,ML Headset,Sealed cartridge keeps dirt out.,,N/A,45.4168,102.29,HS
396,11,HS-3479,HL Headset,HL Headset,"High-quality 1"" threadless headset with a grease port for quick lubrication.",,N/A,55.3801,124.73,HS
397,4,HB-M243,LL Mountain Handlebars,LL Mountain Handlebars,All-purpose bar for on or off-road.,,N/A,17.978,40.4909,HB
399,4,HB-M763,ML Mountain Handlebars,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,,N/A,24.9932,56.2909,HB
401,4,HB-M918,HL Mountain Handlebars,HL Mountain Handlebars,Flat bar strong enough for the pro circuit.,,N/A,48.5453,109.3364,HB
403,4,HB-R504,LL Road Handlebars,LL Road Handlebars,Unique shape provides easier reach to the levers.,,N/A,17.978,40.4909,HB
405,4,HB-R720,ML Road Handlebars,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,,N/A,24.9932,56.2909,HB
407,4,HB-R956,HL Road Handlebars,HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,,N/A,48.5453,109.3364,HB
409,12,FR-M63B-38,"ML Mountain Frame - Black, 38",ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,Black,U,185.8193,348.76,FR
410,17,FW-M423,LL Mountain Front Wheel,LL Mountain Front Wheel,Replacement mountain wheel for entry-level rider.,Black,N/A,26.9708,60.745,FW
411,17,FW-M762,ML Mountain Front Wheel,ML Mountain Front Wheel,Replacement mountain wheel for the casual to serious rider.,Black,N/A,92.8071,209.025,FW
412,17,FW-M928,HL Mountain Front Wheel,HL Mountain Front Wheel,High-performance mountain replacement wheel.,Black,N/A,133.2955,300.215,FW
413,17,FW-R623,LL Road Front Wheel,LL Road Front Wheel,Replacement road front wheel for entry-level cyclist.,Black,N/A,37.9909,85.565,FW
414,17,FW-R762,ML Road Front Wheel,ML Road Front Wheel,Sturdy alloy features a quick-release hub.,Black,N/A,110.2829,248.385,FW
415,17,FW-R820,HL Road Front Wheel,HL Road Front Wheel,Strong wheel with double-walled rim.,Black,N/A,146.5466,330.06,FW
416,17,FW-T905,Touring Front Wheel,Touring Front Wheel,Aerodynamic rims for smooth riding.,Black,N/A,96.7964,218.01,FW
417,14,FR-R72Y-38,"ML Road Frame-W - Yellow, 38",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,300.1188,540.7545,FR
419,17,RW-M423,LL Mountain Rear Wheel,LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.,Black,N/A,38.9588,87.745,RW
420,17,RW-M762,ML Mountain Rear Wheel,ML Mountain Rear Wheel,Replacement mountain wheel for the casual to serious rider.,Black,N/A,104.7951,236.025,RW
421,17,RW-M928,HL Mountain Rear Wheel,HL Mountain Rear Wheel,High-performance mountain replacement wheel.,Black,N/A,145.2835,327.215,RW
422,17,RW-R623,LL Road Rear Wheel,LL Road Rear Wheel,Replacement road rear wheel for entry-level cyclist.,Black,N/A,49.9789,112.565,RW
423,17,RW-R762,ML Road Rear Wheel,ML Road Rear Wheel,Aluminum alloy rim with stainless steel spokes; built for speed.,Black,N/A,122.2709,275.385,RW
424,17,RW-R820,HL Road Rear Wheel,HL Road Rear Wheel,Strong rear wheel with double-walled rim.,Black,N/A,158.5346,357.06,RW
425,17,RW-T905,Touring Rear Wheel,Touring Rear Wheel,Excellent aerodynamic rims guarantee a smooth ride.,Black,N/A,108.7844,245.01,RW
426,12,FR-M63B-40,"ML Mountain Frame - Black, 40",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,U,185.8193,348.76,FR
427,12,FR-M63B-44,"ML Mountain Frame - Black, 44",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,U,185.8193,348.76,FR
428,12,FR-M63B-48,"ML Mountain Frame - Black, 48",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,U,185.8193,348.76,FR
429,14,FR-R72Y-40,"ML Road Frame-W - Yellow, 40",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,300.1188,540.7545,FR
431,14,FR-R72Y-42,"ML Road Frame-W - Yellow, 42",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,300.1188,540.7545,FR
433,14,FR-R72Y-44,"ML Road Frame-W - Yellow, 44",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,300.1188,540.7545,FR
435,14,FR-R72Y-48,"ML Road Frame-W - Yellow, 48",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,300.1188,540.7545,FR
437,14,FR-R92B-62,"HL Road Frame - Black, 62",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U,722.2568,1301.3636,FR
439,14,FR-R92B-44,"HL Road Frame - Black, 44",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U,722.2568,1301.3636,FR
441,14,FR-R92B-48,"HL Road Frame - Black, 48",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U,722.2568,1301.3636,FR
443,14,FR-R92B-52,"HL Road Frame - Black, 52",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U,722.2568,1301.3636,FR
445,22,SH-M897-S,"Men's Sports Shorts, S",Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Black,M,24.7459,59.99,SH
446,35,PA-T100,"Touring-Panniers, Large",Touring-Panniers,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips.",Grey,N/A,51.5625,125.0,PA
447,34,LO-C100,Cable Lock,Cable Lock,"Wraps to fit front and rear tires, carrier and 2 keys included.",,N/A,10.3125,25.0,LO
448,36,PU-0452,Minipump,Minipump,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.,,N/A,8.2459,19.99,PU
449,36,PU-M044,Mountain Pump,Mountain Pump,Simple and light-weight. Emergency patches stored in handle.,,N/A,10.3084,24.99,PU
450,33,LT-T990,Taillights - Battery-Powered,Taillight,Affordable light for safe night riding - uses 3 AAA batteries,,N/A,5.7709,13.99,LT
451,33,LT-H902,Headlights - Dual-Beam,Headlights - Dual-Beam,Rechargeable dual-beam headlight.,,N/A,14.4334,34.99,LT
452,33,LT-H903,Headlights - Weatherproof,Headlights - Weatherproof,Rugged weatherproof headlight.,,N/A,18.5584,44.99,LT
